### DATA:
#
# 1213
#      Q             I(Q)           Error     
2.99882683E-03  4.20887301E-04  1.38478049E-03
3.28442939E-03  1.56434654E-04  7.36148114E-04
3.57003195E-03  8.39768145E-04  6.22636879E-04
3.85563450E-03  1.27356802E-03  5.09339382E-04
4.14123706E-03  7.26641062E-04  4.08480573E-04
4.42683961E-03  1.05387400E-03  3.44360754E-04
4.71244217E-03  9.68170475E-04  3.11265320E-04
4.99804472E-03  8.98335465E-04  2.94719235E-04
5.28364728E-03  9.21247818E-04  2.81085783E-04
5.56924984E-03  7.34551311E-04  2.75912795E-04
5.85485239E-03  7.34362739E-04  2.72627662E-04
6.14045495E-03  8.60285562E-04  2.63413934E-04
6.42605750E-03  8.51236674E-04  2.54910865E-04
6.71166006E-03  7.82443100E-04  2.45729892E-04
6.99726261E-03  1.31008387E-03  2.39886242E-04
7.28286517E-03  1.04918064E-03  2.36476401E-04
7.56846773E-03  9.04240741E-04  2.34061234E-04
7.85407028E-03  6.70610784E-04  2.23953526E-04
8.13967284E-03  1.03483804E-03  2.19443687E-04
8.42527539E-03  1.01706761E-03  2.18537350E-04
8.71087795E-03  7.65150610E-04  2.12596981E-04
8.99648050E-03  2.95318685E-04  2.10577798E-04
9.28208306E-03  6.75819766E-04  2.04121973E-04
9.56768562E-03  8.97761962E-04  2.00219273E-04
9.85328817E-03  6.53577728E-04  2.04677358E-04
1.01388907E-02  7.66100420E-04  1.94503507E-04
1.04244933E-02  6.89876408E-04  1.90827059E-04
1.07100958E-02  8.50323877E-04  1.91989714E-04
1.09956984E-02  8.21506642E-04  1.88863894E-04
1.12813009E-02  7.47354422E-04  1.89420213E-04
1.15669035E-02  5.73748882E-04  1.81120956E-04
1.18525061E-02  6.63560256E-04  1.81315379E-04
1.21381086E-02  3.29963165E-04  1.78885757E-04
1.24237112E-02  3.27932597E-04  1.65150684E-04
1.27093137E-02  8.26353337E-04  1.62145131E-04
1.29949163E-02  5.84027566E-04  1.54863863E-04
1.32805188E-02  6.60353560E-04  1.53719831E-04
1.35661214E-02  6.79408997E-04  1.48724354E-04
1.38517240E-02  5.56623070E-04  1.46072758E-04
1.41373265E-02  5.90849111E-04  1.43347751E-04
1.44229291E-02  6.81172918E-04  1.41589666E-04
1.47085316E-02  5.39552937E-04  1.39239728E-04
1.49941342E-02  7.77442617E-04  1.36398248E-04
1.52797367E-02  5.09670699E-04  1.34801003E-04
1.55653393E-02  6.64064609E-04  1.31805667E-04
1.58509418E-02  5.17685566E-04  1.30993067E-04
1.61365444E-02  8.86890804E-04  1.28715486E-04
1.64221470E-02  5.84648227E-04  1.26471104E-04
1.67077495E-02  6.62275045E-04  1.25216810E-04
1.69933521E-02  5.27026543E-04  1.23028227E-04
1.72789546E-02  5.57752718E-04  1.21942305E-04
1.75645572E-02  5.82705342E-04  1.20762687E-04
1.78501597E-02  5.27790096E-04  1.18599478E-04
1.81357623E-02  6.53633904E-04  1.18588513E-04
1.84213648E-02  5.98342147E-04  1.15753714E-04
1.87069674E-02  4.83783756E-04  1.15056425E-04
1.89925700E-02  5.88190647E-04  1.15150725E-04
1.92781725E-02  4.19734263E-04  1.11735492E-04
1.95637751E-02  6.29158071E-04  1.12400618E-04
1.98493776E-02  5.47167472E-04  1.09846767E-04
2.01349802E-02  6.30335624E-04  1.09858878E-04
2.04205827E-02  5.45958227E-04  1.09050765E-04
2.07061853E-02  5.51604476E-04  1.06515916E-04
2.09917878E-02  5.45671245E-04  1.06694246E-04
2.12773904E-02  4.16770729E-04  1.05011075E-04
2.15629930E-02  7.46360682E-04  1.04883850E-04
2.18485955E-02  5.63077430E-04  1.03946569E-04
